transaction_id,date,month,product,category,unit_price_rwf,quantity,line_total_rwf,region,client_name,client_type
TXN-00001,2025-01-01,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,88,61600,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00002,2025-01-01,2025-01,Digital Thermometer,Medical Supplies,5800,9,52200,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00003,2025-01-01,2025-01,Digital Thermometer,Medical Supplies,5800,13,75400,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00004,2025-01-01,2025-01,Cough Syrup 100ml,Cold & Flu,1400,45,63000,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00005,2025-01-01,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,33,59400,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00006,2025-01-01,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,91,63700,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00007,2025-01-02,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,13,80600,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00008,2025-01-02,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,22,61600,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00009,2025-01-02,2025-01,Metformin 500mg,Diabetes Care,1300,47,61100,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00010,2025-01-02,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,32,57600,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00011,2025-01-02,2025-01,Losartan 50mg,Antihypertensives,2100,28,58800,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00012,2025-01-02,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,36,57600,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00013,2025-01-03,2025-01,Amoxicillin 500mg,Antibiotics,1200,36,43200,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00014,2025-01-03,2025-01,Antihistamine Tablets,Cold & Flu,800,55,44000,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00015,2025-01-03,2025-01,Digital Thermometer,Medical Supplies,5800,9,52200,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00016,2025-01-03,2025-01,Amoxicillin 500mg,Antibiotics,1200,37,44400,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00017,2025-01-03,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,16,44800,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00018,2025-01-03,2025-01,Antihistamine Tablets,Cold & Flu,800,55,44000,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00019,2025-01-03,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,90,45000,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00020,2025-01-04,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,17,54400,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00021,2025-01-04,2025-01,Amoxicillin 500mg,Antibiotics,1200,52,62400,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00022,2025-01-04,2025-01,Metformin 500mg,Diabetes Care,1300,50,65000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00023,2025-01-04,2025-01,Metronidazole 400mg,Antibiotics,900,68,61200,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00024,2025-01-04,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,125,62500,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00025,2025-01-04,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,13,80600,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00026,2025-01-05,2025-01,Metronidazole 400mg,Antibiotics,900,59,53100,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00027,2025-01-05,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,72,50400,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00028,2025-01-05,2025-01,Amlodipine 5mg,Antihypertensives,1700,30,51000,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00029,2025-01-05,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,10,62000,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00030,2025-01-05,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,11,49500,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00031,2025-01-05,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,71,49700,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00032,2025-01-05,2025-01,Amlodipine 5mg,Antihypertensives,1700,30,51000,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00033,2025-01-06,2025-01,Cough Syrup 100ml,Cold & Flu,1400,34,47600,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00034,2025-01-06,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,90,45000,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00035,2025-01-06,2025-01,Amlodipine 5mg,Antihypertensives,1700,29,49300,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00036,2025-01-06,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,27,43200,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00037,2025-01-06,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,65,45500,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00038,2025-01-06,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,16,44800,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00039,2025-01-06,2025-01,Cough Syrup 100ml,Cold & Flu,1400,32,44800,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00040,2025-01-06,2025-01,Amlodipine 5mg,Antihypertensives,1700,26,44200,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00041,2025-01-06,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,29,46400,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00042,2025-01-07,2025-01,Amoxicillin 500mg,Antibiotics,1200,44,52800,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00043,2025-01-07,2025-01,Metronidazole 400mg,Antibiotics,900,62,55800,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00044,2025-01-07,2025-01,Antihistamine Tablets,Cold & Flu,800,65,52000,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00045,2025-01-07,2025-01,Amlodipine 5mg,Antihypertensives,1700,33,56100,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00046,2025-01-07,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,89,53400,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00047,2025-01-07,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,33,59400,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00048,2025-01-07,2025-01,Amoxicillin 500mg,Antibiotics,1200,48,57600,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00049,2025-01-08,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,32,35200,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00050,2025-01-08,2025-01,Losartan 50mg,Antihypertensives,2100,17,35700,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00051,2025-01-08,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,24,43200,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00052,2025-01-08,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,17,42500,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00053,2025-01-08,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,61,36600,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00054,2025-01-08,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,15,48000,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00055,2025-01-08,2025-01,Antihistamine Tablets,Cold & Flu,800,46,36800,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
